id,goodreads_desc,google_desc
401,"Christina Noble knows the pain and loneliness of being left outside the door -- Of having no door or one&aposs own to walk through, for she was one a streetchild herself, alone on the streets of Dublin.In 1989, driven by a dream and by the memory of her own past, she traveled 6,000 miles to Vietnam, a country of great beauty where war has left a terrible legacy. Against extrao
Christina Noble knows the pain and loneliness of being left outside the door -- Of having no door or one's own to walk through, for she was one a streetchild herself, alone on the streets of Dublin.In 1989, driven by a dream and by the memory of her own past, she traveled 6,000 miles to Vietnam, a country of great beauty where war has left a terrible legacy. Against extraordinary odds she opened the Christina Noble Children's Foundation, a haven of food, beds, medical aid and schooling where the street children of Saigon can find safety and new beginnings under the protection of ""Mama Tina"".In this vivid and moving book, Christina's compelling story continues with the amazing tale of what she and her Foundation have achieved. She takes us from the streets of Saigon to the Children's Prisons of Mongolia. A staunch campaigner for children's rights, for her there are no frontiers, only a world filled with children reaching out.
...more","A blonde Irish woman sits in an ice-cream parlour on Le Loi Street singing, a crowd of Vietnamese street children around her, their eyes riveted on her smiling face... Christina Noble knows the pain and loneliness of being left outside the door - of having no door of one's own to walk through, for she was once a street-child herself, alone on the streets of Dublin. When she told the story of her early life in her bestselling autobiography Bridge Across My Sorrows she had no idea that it would prove a catalyst for so many others who had suffered childhood pain and rejection, or that it would inspire them to take the first courageous steps towards self-acceptance and their own self-healing. In 1989, driven by a dream and by the memory of her own past, she travelled 6,000 miles to Vietnam, a country of great beauty where war has left a terrible legacy. Against extraordinary odds she opened the Christina Noble Children's Foundation, a haven of food, beds, medical aid and schooling where the street children of Saigon can find safety and new beginnings under the protection of 'Mama Tina'. In this vivid and moving book Christina's compelling story continues with the amazing tale of what she and her Foundation have achieved. She takes us from the streets of Saigon to the Children's Prisons of Mongolia. A staunch campaigner for children's rights, for her there are no frontiers, only a world filled with children reaching out. Finally she returns to Dublin, where the former street orphan is officially and proudly greeted by the President of Ireland herself."
402,"A master assassin. A vendetta years in the making. And a counter terrorism operative who will risk everything -- even treason -- to keep the people he loves alive.Brad Thor, the New York Times bestselling author of Takedown, delivers an explosive international thriller featuring Navy SEAL turned Homeland Security operative Scot Harvath, who somewhere, somehow, has left the
A master assassin. A vendetta years in the making. And a counter terrorism operative who will risk everything -- even treason -- to keep the people he loves alive.Brad Thor, the New York Times bestselling author of Takedown, delivers an explosive international thriller featuring Navy SEAL turned Homeland Security operative Scot Harvath, who somewhere, somehow, has left the wrong person alive.""Thou shalt not negotiate with terrorists...""Six months ago: In the dead of the night, five of the most dangerous detainees in the war on terror are pulled from their isolation cells in Guantanamo Bay, held at gunpoint, and told to strip off their orange jumpsuits. Issued civilian clothes and driven to the base airfield, they are loaded aboard a Boeing 727 and set free.Present day: Covert counterterrorism agent Scot Harvath awakens to discover that his world has changed violently -- and forever. A sadistic assassin with a personal vendetta is wreaking havoc of biblical proportions. Unleashing nightmarish horrors on those closest to Harvath, the attacker thrusts everything Harvath holds dear -- including his life -- into absolute peril.Ordered by the president to stay out of the investigation, Harvath is forced to mount his own operation to uncover the conspiracy and to exact revenge. When he discovers a connection between the attacks and a group of prisoners secretly released from Guantanamo, Harvath must ask himself previously unthinkable questions about the organizations and the nation he has spent his life serving.A renegade from his own government, Harvath will place his life on the line as his search for the truth draws him into a showdown with one of the most dangerous men on the face of the earth.Brad Thor roars through this nonstop adventure full of international intrigue, twisted betrayals, and ultimate revenge.
...more","In the wake of his girlfriend's brutal murder by an assassin who is in possession of a strange radioactive isotope, covert counter-terrorism agent Scot Harvath discovers clues to a conspiracy with presidential ties that puts him at odds with his own agency. By the author of Takedown. Reprint."
404,"The Taverners had lived at Buscombe, the mellow stone manor house in Wiltshire, for generations. They had farmed the land and sent their sons to war (and even, latterly, to commerce) in a way of life that seemed timeless. But in 1870 a new generation is about to take control - Tom Taverner, dedicated, impulsive, deeply caring about his inheritance, and his sister Catherine
The Taverners had lived at Buscombe, the mellow stone manor house in Wiltshire, for generations. They had farmed the land and sent their sons to war (and even, latterly, to commerce) in a way of life that seemed timeless. But in 1870 a new generation is about to take control - Tom Taverner, dedicated, impulsive, deeply caring about his inheritance, and his sister Catherine, intelligent, humorous, but frustrated by the limited opportunities open to women in a man's world. Tom marries, and agricultural depression hits the estate. And suddenly it seems that everything which was so secure can no longer hold.Stretching in time from the 1870s to the outbreak of the second world war, and in distance from Crete to East Africa, this warmly satisfying novel is a triumph of storytelling.
...more","The Taverners had lived at Buscombe, the mellow stone manor house in Wiltshire, for generations. They had farmed the land and sent their sons to war (and even, latterly, to commerce) in a way of life that seemed timeless. But in 1870 a new generation is about to take control - Tom Taverner, dedicated, impulsive, deeply caring about his inheritance, and his sister Catherine, intelligent, humorous, but frustrated by the limited opportunities open to women in a man's world. Tom marries, and agricultural depression hits the estate. And suddenly it seems that everything which was so secure can no longer hold. Stretching in time from the 1870s to the outbreak of the second world war, and in distance from Crete to East Africa, this warmly satisfying novel is a triumph of storytelling."
406,"When a black man is shot multiple times in the back on the streets of New York by an NYPD golden boy, chaos erupts through the city. And in an election yeara year of secret handshakes and politically motivated favorsno one feels the pressure more than the men and women who vow to protect and to serve. For Butch Karp, chief assistant district attorney for New York County,
When a black man is shot multiple times in the back on the streets of New York by an NYPD golden boy, chaos erupts through the city. And in an election yeara year of secret handshakes and politically motivated favorsno one feels the pressure more than the men and women who vow to protect and to serve. For Butch Karp, chief assistant district attorney for New York County, bullet holes aren't the only holes in this volatile case, nor in a second shocking puzzle...A slow-witted young man faces the death penalty for murdering a Jewish diamond merchant. Karp is quickly learning that politics mean a lot more than justice when it becomes apparent that certain higher-ups would rather whitewash the truth than lose the Jewish vote. Add a serial killer who is murdering the homeless to Karp's daily grind, and it's clear he is surrounded by high-profile time bombs that are promising to blow the city to its core.To make matters worse, Karp's wife, Marlene Ciampi, has become independently wealthy thanks to the Internet stock boom and has decided to enjoy her newly acquired fortune through manic shopping sprees and free-flowing alcohol. Plus, his daughter, Lucy, is skipping school to feed the homeless not far from where the slasher stalks his prey. Desperate to stop the violence before it touches his family, karp must wade through a system of corruption and conspiracy that threatnes to silence his pursuit of the truth...forever.
...more","NYC chief assistant district attorney Butch Karp faces a difficult case when a serial killer begins stalking the homeless, a situation that is complicated when his daughter volunteers at the shelters where the murders are occurring. Reprint."
407,"""Margaret Truman has become a first-rate mystery writer.""LOS ANGELES TIMES BOOK REVIEWWhen a genius doctor is murdered and a desert madman gains the means to kill millions, Major Margit Falk, a helicopter pilot and Pentagon lawyer, is drawn into Project Safekeep--an antimissile scheme under congressional investigation. The alleged murderer has his share of secrets, but Fal
""Margaret Truman has become a first-rate mystery writer.""LOS ANGELES TIMES BOOK REVIEWWhen a genius doctor is murdered and a desert madman gains the means to kill millions, Major Margit Falk, a helicopter pilot and Pentagon lawyer, is drawn into Project Safekeep--an antimissile scheme under congressional investigation. The alleged murderer has his share of secrets, but Falk smells conspiracy in the air. And although she turns to her mentor, law professor Mackenzie Smith for help, she's got to beat a cunning madman and a nuclear blast....An Alternate Selection of the Literary GuildFrom the Paperback edition.
...more",The death of a genius physician and a desert madman's acquisition of a nuclear weapon makes the Pentagon the locus of a murder investigation with deadly implications. Reprint.
409,"Book by Titchmarsh, Alan","Following the death of his father, the owner of East Yarmouth Animal Sanctuary, Kit Lavery returns to Britain from Australia to sort out his father's affairs. His visit is intended to be brief, but on arrival at the down-at-heel animal sanctuary, Kit finds it staffed by two very determined women. Elizabeth Punch and Jess Supple. Elizabeth is a woman with a mission - to save animals from inconsiderate man. And Jess Supple has one burning desire - to keep alive the work of the old man who took her under his wing when she was a placard-waving hunt saboteur. As the two women cajole, berate and demand that Kit stay and carry on his father's good work, he finds life becoming increasingly complicated. And when GM crop trials are proposed in the fields surrounding his farm, his scruples are tested to the limit, and not everyone is happy with his decision. It seems that blood may be spilt before the Animal Sanctuary, with its assorted inhabitants, is out of the woods..."
411,"Meet JackJack Rossiter. I&aposm twenty-seven years old, single, and live with my best mate Matt. Matt and I started hanging out when we were eight. Life was simpler then. Our idea of fashion was polyester. I told him I wanted to be a spy and he asked me who I&aposd marry. I imagined falling in love with a girl so perfect I couldn&apost even guess her name. Things have changed since th
Meet JackJack Rossiter. I'm twenty-seven years old, single, and live with my best mate Matt. Matt and I started hanging out when we were eight. Life was simpler then. Our idea of fashion was polyester. I told him I wanted to be a spy and he asked me who I'd marry. I imagined falling in love with a girl so perfect I couldn't even guess her name. Things have changed since then. I did fall in love for a while but it didn't work out. And single is good, single is fun. Meet AmySometimes in my darker moments I've thought about applying to go on Blind Date. 'She's gorgeous, she's from London, come in Amy Crosbie!' (Wolf whistling and applause.) Actually it's a bit of a worry. I think it's my warped way of telling myself something's got to change. It's been six months since I last had sex. Six months! I mean, I've got my own flat, I've got A levels - so come on down Mr Right. At least it would get my mother off my back. Now find out what happens when they meet each other -
...more","Come Together may not be a romance in the traditional sense – it is far too realistic for that – but that authenticity makes its happy ending extraordinarily powerful. Co-written by a British male/female duo, with alternating chapters told from the male and female viewpoint, it's a quick, can't-put-it-down read that should inspire some very interesting dialogue between the sexes."
412,"Dangerous is back...In this, the fourth of Leslie Thomas&aposs novels about Dangerous Davies, the last detective, Davies has retired from the Metropolitan Police and set up as a private eye.Cases are hard to come by until he is aburptly thrown into two mysteries - the murders of women answering lonely hearts advertisements, and the disappearance of a young girl student, a psyc
Dangerous is back...In this, the fourth of Leslie Thomas's novels about Dangerous Davies, the last detective, Davies has retired from the Metropolitan Police and set up as a private eye.Cases are hard to come by until he is aburptly thrown into two mysteries - the murders of women answering lonely hearts advertisements, and the disappearance of a young girl student, a psychologist and a secret worth millions. But can Davies solve any of the mysteries and will his new career as a private detective be a success?People with the amazing characters that are the trademark of any book by Leslie Thomas, this is a highly original detective story that is as ingenious as it is touching and funny.
...more","Dangerous is back... In this, the fourth of Leslie Thomas's novels about Dangerous Davies, the last detective, Davies has retired from the Metropolitan Police and set up as a private eye. Cases are hard to come by until he is aburptly thrown into two mysteries - the murders of women answering lonely hearts advertisements, and the disappearance of a young girl student, a psychologist and a secret worth millions. But can Davies solve any of the mysteries and will his new career as a private detective be a success? People with the amazing characters that are the trademark of any book by Leslie Thomas, this is a highly original detective story that is as ingenious as it is touching and funny."
413,"Breathing Lessons covers the events of a day in the life of Maggie Moran, nearing fifty, married to Ira and with two children. Her eternal optimism and her inexhaustible passion for sorting out other people&aposs lives and willing them to fall in love is severely tested one hot summer day.Maggie and Ira drive from Baltimore to Deer Lick to attend the funeral of the husband of 
Breathing Lessons covers the events of a day in the life of Maggie Moran, nearing fifty, married to Ira and with two children. Her eternal optimism and her inexhaustible passion for sorting out other people's lives and willing them to fall in love is severely tested one hot summer day.Maggie and Ira drive from Baltimore to Deer Lick to attend the funeral of the husband of Serena, Maggie's childhood friend. During the course of the journey, with its several unexpected detours - into the lives of old friends and grown children - Anne Tyler shows us all there is to know about a marriage: the expectations; the disappointments; the way children can create storms in a family; the way that wife and husband can fall in love all over again; the way that everything - and nothing - changes.
...more","During the course of the journey, with its several unexpected detours - into the lives of old friends and grown children - the author shows us there is to know about a marriage: the expectations; the disappointments; the way children can create storms in a family; the way the wife and husband can fall in love all over again; and more."
414,"Bestseller Trigiani (Lucia, Lucia) offers Italian recipes, family dramas and oodles of decorating ideas (if little narrative tension) in her latest novel, a feel-good story about a New Jersey interior designer tackling his dream job. In Our Lady of Fatima, N.J., plucky narrator Bartolomeo di Crespi, aka B, reigns supreme: he can doll up an ottoman with kicky trim and spark
Bestseller Trigiani (Lucia, Lucia) offers Italian recipes, family dramas and oodles of decorating ideas (if little narrative tension) in her latest novel, a feel-good story about a New Jersey interior designer tackling his dream job. In Our Lady of Fatima, N.J., plucky narrator Bartolomeo di Crespi, aka B, reigns supreme: he can doll up an ottoman with kicky trim and sparkly crystals with the best of 'em, and he decorates all the area's best houses, including the manse belonging to the mother of his putative fiancée, Capri Mandelbaum. (Really they're just friends, but Aurelia, Capri's mother, is certain they'll marry.) When the local church comes due for a major renovation, B gets the commission, after Father Porporino is convinced (forcibly, it's later revealed) that a tony Philadelphia firm won't do. But can B come up with a timeless yet innovative design for the church he loves? He calls in the experts—all of them sexy—takes trips to London and Italy, and benefits from a minor miracle amid a cast of family and friends who fight, fall in love, have babies and come out of the closet. While overlong and undramatic, the book still manages to soothe, in part because of its cozy design talk and in part because of the likable, competent B.
...more","Makeover specialist Bartolomeo Di Crespi is all his name suggests - stylish, sophisticated, a legend in his own time. From the Mediterranean to Manhattan his taste reigns supreme. When the renovation of his hometown church comes up for tender, Bortolemeo assumes only he can do justice to the task ahead. But the local pastor, Father Porporino, for reasons of his own, has other ideas. Delightful, captivating, hilarious, bursting with effervescent life, as fanciful as flocked wallpaper, Roccoco is a comic masterpiece with a heart of gold. Once more Adriana Trigiani's takes us into an enchanting world which she has made her own - peopled by unforgettable characters that will live forever."
415,"It is home to the powerful, the glamorous, and the politically connected. It has a gorgeous view and a notorious history. Now the Watergate, a vast complex of hotel rooms, apartments, health spas, and fine restaurants, is famous for something else: two shocking murders whose victims have ties to Mexico. As the case reaches from the Watergate into the White House, law profe
It is home to the powerful, the glamorous, and the politically connected. It has a gorgeous view and a notorious history. Now the Watergate, a vast complex of hotel rooms, apartments, health spas, and fine restaurants, is famous for something else: two shocking murders whose victims have ties to Mexico. As the case reaches from the Watergate into the White House, law professor Mac Smith and his wife, Annabel, set out to uncover the truth. Because the ultimate dirty trick is threatening a political career and a nation’s future. And the killer is already plotting his next lethal move…
...more","Washington, D.C., crime-stoppers Mac and Annabel Smith buy an apartment in the Watergate complex hoping to simplify their lives, only to stumble upon a plot by Mexican drug lords to kill a future U.S. president. Reprint."
416,"A serial killer is on the loose in Minnesota, snapping young women&aposs necks with each change of the seasons. Within twenty four hours of the first murder, TV weatherman Dixon Bell, a hulking eccentric, warns his viewers that a tornado is about to strike. The National Weather Service hasn&apost called it, but Dixon Bell does because he sees it coming in his mind. Among all the c
A serial killer is on the loose in Minnesota, snapping young women's necks with each change of the seasons. Within twenty four hours of the first murder, TV weatherman Dixon Bell, a hulking eccentric, warns his viewers that a tornado is about to strike. The National Weather Service hasn't called it, but Dixon Bell does because he sees it coming in his mind. Among all the complex and original characters in this astonishing novel, the shifting weather and landscape of Minnesota stand out - demonic, majestic, bizarre, magical. Dixon Bell is not the only eccentric on Channel 7's Sky High News. His alter ego is an investigative news producer named Rick Beanblossom, a Vietnam vet and Pulitzer Prize winner, who hides his napalmed face, and his feelings, behind a mask. Guided along the way by an unnamed police source. Rick is on the track of the serial killer. Then he is assigned an unlikely partner, Andrea Labore, a lovely and ambitious ex-cop turned TV reporter. The newsman and the weatherman start out as bitter rivals for this gifted woman. But an ambivalent friendship grows between them when Dixon Bell becomes a suspect in the weather-related killings and Rick Beanblossom sets out to prove him innocent.
...more","A cruel but clever serial killer called the Weatherman is about to make TV newscaster Andrea Labore a star, but she might be cool to fame's inevitable cost. Reissue."
418,"Alex. He witnessed the murder of a woman he loved, and somewhere in the events leading up to her death is the key to identifying her killer. But to find it, Alex needs to relive those terrifying months via hypnosis. Now, with the help of his sister, a forensic psychiatrist, he&aposs journeying back into the dark recesses of his mind to experience the horror and pain again.Madd
Alex. He witnessed the murder of a woman he loved, and somewhere in the events leading up to her death is the key to identifying her killer. But to find it, Alex needs to relive those terrifying months via hypnosis. Now, with the help of his sister, a forensic psychiatrist, he's journeying back into the dark recesses of his mind to experience the horror and pain again.Maddy. Her investigative prowess isn't dimmed by the special challenges or her blindness — or by the accident that has left her a paraplegic. Now she is guiding her brother into the past, listening as his subconscious memories create a montage of a killer, and coming up with a plan for justice that will endanger her own fragile life...The stunning debut of a unique brother-sister detective team, Death Trance sheds fascinating new light on forensic hypnosis, a doorway into the mind's locked chambers of memory and terror.""Hair-raising... Introducing a unique and charming heroine with an equally compelling supporting cast."" — Mostly Murder ""Finely crafted, elegantly written... A novel of sheer suspense — it tales off at a run and never lets up."" — Alfred Hitchcock's Mystery Magazine
...more","With the help of his sister Maddy, a forensic psychiatrist, Alex attempts to find the killer of the woman he loved by reliving the months leading up to her death. By the author of Deadfall in Berlin. Reprint."
419,"Her Death Was Expected but Something More Powerful Kept Her AliveBestselling author Kathy Tyers&apos has rewritten her first and favorite science fiction novel to deal more fully with questions of salvation and the search for faith. If you are a fan of science fiction, Christian fantasy, or just great storytelling you will be thrilled by the important themes and intriguing plo
Her Death Was Expected but Something More Powerful Kept Her AliveBestselling author Kathy Tyers' has rewritten her first and favorite science fiction novel to deal more fully with questions of salvation and the search for faith. If you are a fan of science fiction, Christian fantasy, or just great storytelling you will be thrilled by the important themes and intriguing plot.Lady Firebird was born a princess of the royal family of Naetai. Because of her birthplace in the family, however, her life is expendable. Honorable suicide is the highest calling she could hope to attain. When she is chosen to lead an attack on the neighboring planet of VeeRon her death is expected. She is taken prisoner during the battle and is held by the enemy.With her own people seeking her sacrifice, Firebird must choose between two worlds before she can carve out her new destiny. This is the story of Princess Firebird's personal spiritual battle and the eternal consequences it has not only for herself but for everyone around her and especially the man who loves her.""A Science-fiction Story Like They Used to Write...""-Christopher Parkening, premier classical guitarist.
...more","An expendable child of the royal Naetai family, Lady Firebird is assigned to lead a suicide mission against the planet VeeRon, a member of the enemy Federacy"
420,"Lost, baffled, and alone in Willesden&aposs mean streets, Detective Constable Dangerous Davies is up against the cream of criminality. Newspaper theft (the work of organized crime?), household robbery (including cheese from the fridge), it&aposs all grist to his mill. When Dangerous is beaten up, yet again, at a European Friendship dinner dance he reluctantly takes some sick leave
Lost, baffled, and alone in Willesden's mean streets, Detective Constable Dangerous Davies is up against the cream of criminality. Newspaper theft (the work of organized crime?), household robbery (including cheese from the fridge), it's all grist to his mill. When Dangerous is beaten up, yet again, at a European Friendship dinner dance he reluctantly takes some sick leave.Recuperating in Bournemouth he is approached by a member of the local Widows' Luncheon Club. She wants him to find out the truth about her husband's disappearance. Dangerous declines. It's against the rules. Back in Willesden a further beating helps change his mind.So starts a double life of regular casework and moonlighting as Dangerous lurches into a mystery fit to confuse the great Holmes himself...
...more","Known in the London police as the Last Detective, it is no surprise when Det. Dangerous Davies gets beaten up on the job. While recuperating, he is approached by a member of the local Widows Club to investigate the death of her husband 15 years before. A mystery which propels Davies into a double life of casework and moonlighting and a series of outlandish adventures. Available in October."
421,"On a small stretch of untamed coast, five old clapboard houses gaze out to sea. Fourteen-year-old May Duhane, arriving with her father and sister for the summer, feels isolated and resentful.Leonie Beam, staying in the neighbouring house with her husband&aposs family, shares May&aposs isolation for she is unhappy in her marriage. She confides in Elizabeth Newton, an aging widow wh
On a small stretch of untamed coast, five old clapboard houses gaze out to sea. Fourteen-year-old May Duhane, arriving with her father and sister for the summer, feels isolated and resentful.Leonie Beam, staying in the neighbouring house with her husband's family, shares May's isolation for she is unhappy in her marriage. She confides in Elizabeth Newton, an aging widow who keeps the beach's secrets.Meanwhile, May has discovered the diary of a dead girl, her own age. To unravel its story, she must immerse herself in the past. As she does so, she begins to feel she is destined to follow in the dead girl's footsteps.
...more","A love story, a ghost story, a tale of opportunities lost and second chances...on a small stretch of untamed Maine coast."
422,"Sadie&aposs life is calm and complete. She is a mother, a good friend, and the robust survivor of a marriage she deliberately left behind. She has come to believe that she has everything she wants, or deserves.But now her father is dying: the vital, elusive man who spent his life creating perfumes for other women is slipping away from her. When she realises that she can never 
Sadie's life is calm and complete. She is a mother, a good friend, and the robust survivor of a marriage she deliberately left behind. She has come to believe that she has everything she wants, or deserves.But now her father is dying: the vital, elusive man who spent his life creating perfumes for other women is slipping away from her. When she realises that she can never make her peace with him, Sadie begins to look back over her childhood. In pursuing his separate life, Sadie's father ignored her, subjecting her to succession of 'aunties', leaving her loveless and alone.As Sadie confronts the truth about her father, her relationship with her son Jack appears to be breaking down and she is intent on saving it. Then the arrival of one of those fleeting women from her father's past starts a train of events that even Sadie cannot control...
...more","Sadie can't cope with the fact that her father is dying: the vital man who spent his life smelling delicious scents as a perfumier's nose, who brought Sadie up alone, who gave her such a dreadful childhood. In pursuing his life, Sadie's father ignored hers, subjecting her to a succession of 'aunts', leaving her loveless and alone to fend for herself. Now she's a mother, the survivor of a marriage that she destroyed. And as she realises that her father must die, she begins to look back over the painful childhood she's tried to forget. And the arrival of one of those fleeting women from her father's past starts a train of events Sadie cannot control-"
425,"When Fred Carpenter suggests to his wife, Sally, that they take a boating holiday on the Norfolk Broads, she is filled with trepidation. Nevertheless she summons her courage and they and their bull-terrier Bill set off, with Fred at the helm of Dogfish Three.Sally&aposs misgivings are soon justified, as a series of disasters, human, nautical and canine, threaten to ruin their 
When Fred Carpenter suggests to his wife, Sally, that they take a boating holiday on the Norfolk Broads, she is filled with trepidation. Nevertheless she summons her courage and they and their bull-terrier Bill set off, with Fred at the helm of Dogfish Three.Sally's misgivings are soon justified, as a series of disasters, human, nautical and canine, threaten to ruin their holiday. Then everything changes as they make friends with the boating fraternity and encounter the remarkable fifteen-year-old Rosie, whose family history stirs their curiosity and sympathy. As a result, Fred and Sally decide to support Rosie's efforts to better herself - and are rewarded when she finds love and happiness.
...more","When Fred Carpenter suggests to his wife, Sally, that they take a boating holiday on the Norfolk Broads, she is filled with trepidation. Nevertheless she summons her courage and they and their bull-terrier Bill set off, with Fred at the helm of Dogfish Three. Sally's misgivings are soon justified, as a series of disasters, human, nautical and canine, threaten to ruin their holiday. Then everything changes as they make friends with the boating fraternity and encounter the remarkable fifteen-year-old Rosie, whose family history stirs their curiosity and sympathy. As a result, Fred and Sally decide to support Rosie's efforts to better herself - and are rewarded when she finds love and happiness."
426,Vintage paperback,""" McGee has become part of our national fabric."" SEATTLE POST INTELLIGENCER This time out, McGee came close to losing his status as a living legend when he agreed to track down the killers who brutally murdered an ailing millionaire. For starters, he renewed an unfinished adventure with a famous--and oversexed--Hollywood actress, who led him into a very nasty nest of murderers involving a motorcycle gang, pornographic movies, and mad balloonists. And Mcgee relearned the old lesson--that only when he came close to the edge of death was he completely alive."
428,"The scope of Columbia - the first epic saga of our country&aposs final courageous thrust into the continental unknown, the Pacific Northwest - is as massive as the Columbia River itself. The story begins nine thousand years ago, when the river was new, and unfolds in a magnificent family portrait spanning five generations, from the end of the eighteenth century to the present.
The scope of Columbia - the first epic saga of our country's final courageous thrust into the continental unknown, the Pacific Northwest - is as massive as the Columbia River itself. The story begins nine thousand years ago, when the river was new, and unfolds in a magnificent family portrait spanning five generations, from the end of the eighteenth century to the present. At the head of the ancient family is Ilchee, a Chinook Indian princess married to a white trader, who founds a dynasty of rare courage; Caleb, her son, who must learn to live in the white world of Fort Vancouver; Suzanna, who makes the arduous trip across the continent, battling humiliation, death, and even love; Isaac, their son, who builds a logging empire only to discover that destiny, not timer, is king; Ning Ho, Isaac's Chinese mistress, who teaches him even more of life than of pleasure; and finally Will, who rejects his father's vision to power his own - the building of the Grand Coulee Dam - and Leona, his wife, whose secret threatens to destroy everything the family has worked to create. Columbia is a rich, vivid canvas of heroes and scoundrels, of men and women and their dreams of land, gold, timber, salmon and power - dreams that begin when a nomad hunter kills a mastodon and end with an archaeology team working frantically to uncover evidence of that killing before the Columbia's waters rise to cover the past forever - and a family destiny that proves ""some things must be believe to be seen.""
...more","From bestselling author Pamela Jekel comes a saga of the Pacific Northwest that's as grand as the Columbia River itself. A magnificent family portrait spanning five generations from the late l8th century to the present, it tells the story of Ilchee, a Chinook Indian princess married to a white trader, who founds a dynasty of rare courage""...A finely-crafted novel, and...a very accurate portrait of the Northwest"".--Lou Cameron, author of How The West Was Won. Martin's."
430,"#1 New York Times bestselling""""author David Baldacci follows the instant success of Divine Justice with another unstoppable thriller. Sean King and Michelle Maxwell, back from their harrowing and near-fatal adventure in the blockbuster #1 bestseller ""Simple Genius,"" return in a mesmerizing new thriller. A daring kidnapping turns a children&aposs birthday party at Camp David in
#1 New York Times bestselling""""author David Baldacci follows the instant success of Divine Justice with another unstoppable thriller. Sean King and Michelle Maxwell, back from their harrowing and near-fatal adventure in the blockbuster #1 bestseller ""Simple Genius,"" return in a mesmerizing new thriller. A daring kidnapping turns a children's birthday party at Camp David into a national security nightmare, but the hostage is not who anyone would expect. The First Lady enlists the services of King and Maxwell to bring the child back safely. Years ago, King saved her then-senator husband from an assassin's bullet; whether they shared anything else is their secret. With Michelle still recovering from her own demons the pair are pushed to the limit, with forces aligned on all sides against them, and the line between friend and foe impossible to define...or defend.
...more","A daring kidnapping turns a children's birthday party at Camp David into a national security nightmare, pushing agents Sean King and Michelle Maxwell to their limits."
432,"The heroine this novel is a tomboy. She loves her Doc Martens, heavy metal, and hanging out with her best friend, Ollie. She may have been born on a Tuesday, but graceful she isn&apost. However, Grace&aposs world is about to change. Ollie gets engaged, and her new boss wants her to smarten up. Grace tries to turn herself into the kind of girl she thinks they want her to be - with 
The heroine this novel is a tomboy. She loves her Doc Martens, heavy metal, and hanging out with her best friend, Ollie. She may have been born on a Tuesday, but graceful she isn't. However, Grace's world is about to change. Ollie gets engaged, and her new boss wants her to smarten up. Grace tries to turn herself into the kind of girl she thinks they want her to be - with hilarious and unexpected results.
...more","The heroine of this novel is a tomboy. She loves her Doc Martens, heavy metal, and hanging out with her best friend, Ollie. She may have been born on a Tuesday, but graceful she isn't. However, Lucy's world is about to change. Ollie gets engaged, and her new boss wants her to smarten up. Lucy tries to turn herself into the kind of girl she thinks they want her to be - with hilarious and unexpected results."
433,"Spanning the decades from World War II to the 2008 presidential campaign, A God in Ruins is the riveting story of Quinn Patrick O&aposConnell, an honest, principled, and courageous man on the brink of becoming the second Irish Catholic President of the United States. But Quinn is a man with an explosive secret that can shatter his political amibitions, threaten his life, and t
Spanning the decades from World War II to the 2008 presidential campaign, A God in Ruins is the riveting story of Quinn Patrick O'Connell, an honest, principled, and courageous man on the brink of becoming the second Irish Catholic President of the United States. But Quinn is a man with an explosive secret that can shatter his political amibitions, threaten his life, and tear the country apart--a secret buried for over a half century--that even he does not know...
...more","A God in Ruins Spanning the decades from World War II to the 2008 presidential campaign, A God in Ruins is the riveting story of Quinn Patrick O'Connell, an honest, principled, and courageous man on the brink of becoming the second Irish Catholic President of the United States. But Quinn is a man with an explosive secret that can shatter his political amibitions, threaten his life, and tear the country apart--a secret buried for over a half century--that even he does not know..."
434,"Barbara Rolls, PhD, and co-author Robert Barnett present Volumetrics, a long-term, sensible approach to weight loss based on the breakthrough concept that you can feel full while eating fewer calories.With Volumetrics, leading nutritionist Barbara Rolls, PhD, has devised a plan to give people what they′ve always wanted: a way to lose weight while still feeling full and sat
Barbara Rolls, PhD, and co-author Robert Barnett present Volumetrics, a long-term, sensible approach to weight loss based on the breakthrough concept that you can feel full while eating fewer calories.With Volumetrics, leading nutritionist Barbara Rolls, PhD, has devised a plan to give people what they′ve always wanted: a way to lose weight while still feeling full and satisfied. By concentrating on energy density (the amount of calories in a given volume of food) and its relation to feeling replete, Rolls and co-author Bob Barnett guide the reader towards a more rewarding and manageable lifetime approach to eating - one that doesn′t include deprivation. Unlike many fad diets, their ideas are based on a solid body of scientific research, revealing the many factors that determine how much we eat, and hence how much weight we gain. From this research, Rolls and Barnett have created a clear program with tasty recipes, menus, and eating recommendations that can help anyone lose weight safely and effectively.
...more","Barbara Rolls, PhD, and co-author Robert Barnett present Volumetrics, a long-term, sensible approach to weight loss based on the breakthrough concept that you can feel full while eating fewer calories. With Volumetrics, leading nutritionist Barbara Rolls, PhD, has devised a plan to give people what they′ve always wanted: a way to lose weight while still feeling full and satisfied. By concentrating on energy density (the amount of calories in a given volume of food) and its relation to feeling replete, Rolls and co-author Bob Barnett guide the reader towards a more rewarding and manageable lifetime approach to eating - one that doesn′t include deprivation. Unlike many fad diets, their ideas are based on a solid body of scientific research, revealing the many factors that determine how much we eat, and hence how much weight we gain. From this research, Rolls and Barnett have created a clear program with tasty recipes, menus, and eating recommendations that can help anyone lose weight safely and effectively."
